惠新西街南口  胜古北里 2室1厅,https://www.danke.com/room/1609631502.html,建筑面积约49㎡,3楼,5号线,10号线,惠新西街南口站,300米,//pangu-s1.danke.com.cn/build/img/room/no-picture-e63a495fc7.jpg??imageView2/1/w/380/h/285
鼓楼大街  小市口胡同3号院 2室1厅,https://www.danke.com/room/1243693098.html,建筑面积约60㎡,4楼,2号线,8号线,鼓楼大街站,750米,https://public.danke.com.cn/public-20190319-Fovh0B6pI51Gq9olH7Oyrow2lBT2?imageView2/1/w/380/h/285
望京南  蓝色家园 1室1厅,https://www.danke.com/room/1073566264.html,建筑面积约71㎡,5楼,12号线,高家园站,900米,https://public.danke.com.cn/public-20190122-FlBGUoPiRjHavnFNkTXsZoGQeMuS?imageView2/1/w/380/h/285
芍药居  芍药居北里 1室1厅,https://www.danke.com/room/831948764.html,建筑面积约55㎡,16楼,13号线,10号线,芍药居站,1050米,https://public.danke.com.cn/public-20190412-FupG0AnHWwEyMjW8skW1L6j-Jtka?imageView2/1/w/380/h/285
永定门外  城市亮点 1室1厅,https://www.danke.com/room/607642586.html,建筑面积约45㎡,1楼,8号线南段,14号线,东段永定门外站,250米,https://public.danke.com.cn/public-20181204-FvKTsN0Ed5qPNF4p_BJPN0Je7EOe?imageView2/1/w/380/h/285
新宫  公园懿府 1室1厅,https://www.danke.com/room/1611581730.html,建筑面积约53㎡,4楼,4号线大兴线,19号线,新宫站,2400米,https://public.danke.com.cn/public-20180609-Fk5cQ1MVslSlc6mQvomF6Aik20sN?imageView2/1/w/380/h/285
百子湾  沿海赛洛城 1室1厅,https://www.danke.com/room/2098873671.html,建筑面积约54㎡,7楼,7号线,百子湾站,650米,https://public.danke.com.cn/public-20181022-FkGzmwa9Pd7n3sNkh1tMgytVZrBJ?imageView2/1/w/380/h/285
六里桥  吴家村路10号院 1室1厅,https://www.danke.com/room/930163210.html,建筑面积约43㎡,1楼,9号线,10号线,六里桥站,1050米,https://public.danke.com.cn/public-20181029-FjACgZ5-jP2zrBcLivh6ddW4UwpK?imageView2/1/w/380/h/285
玉泉路  玉泉路甲65号院 1室1厅,https://www.danke.com/room/819920851.html,建筑面积约38㎡,6楼,1号线,玉泉路站,950米,https://public.danke.com.cn/public-20190712-FmBZVRq-OtU05FH2Sm4xpCTv5dBi?imageView2/1/w/380/h/285
魏公村  大柳树甲17号院 1室1厅,https://www.danke.com/room/1710578745.html,建筑面积约38㎡,3楼,4号线大兴线,魏公村站,1050米,https://public.danke.com.cn/public-20190704-FiIEwgT1lPUxvzIUcS_eL53Da-W7?imageView2/1/w/380/h/285
方庄  紫芳园一区 2室1厅,https://www.danke.com/room/1491184421.html,建筑面积约67㎡,1楼,14号线,东段方庄站,300米,https://public.danke.com.cn/public-20190629-FpXvKvIE2k_TfXaYspelLN4ojdJ2?imageView2/1/w/380/h/285
