月薪2万+双休 金融销售（电销+网销）,敬悦商务（上海总部）,10K-15K,大专
UE交互设计师,上海适途汽车技术有限公司,10K-15K,本科
上市金融 客户专员 月薪1.5万 双休,敬悦商务（上海总部）,10K-15K,大专
金融销售 底薪5800 月薪2万 双休,敬悦商务（上海总部）,10K-15K,大专
期货专员（开户、激活账户）月薪1万+5险1金,敬悦商务（上海总部）,10K-15K,大专
挑战高薪的课程顾问,海风教育,15K-20K,大专
深度学习,三门峡崤云安全服务有限公司,10K-20K,本科
点评平台—资深图像算法工程师,北京三快在线科技有限公司,薪资面议,本科
K12课程研发/STEAM教育培训师,上海优必杰教育科技有限公司,6K-10K,本科
销售,北京眼神科技有限公司,8K-11K,大专
HRBP（技术/产品研发部门） (MJ001747),上海依图网络科技有限公司,25K-50K,本科
销售顾问/互联网/AIoT/无责任5000,三体云智能科技有限公司,15K-30K,大专
数据中心规划建设经理,江苏沙钢集团有限公司,30K-50K,本科
量化策略研究员,北京天盛京享科技有限公司,15K-20K,大专
金融开户专员 月薪1万+五险一金,上海石擎商务咨询有限公司,10K-15K,大专
客户专员（高薪）,上海恋淼商务信息咨询有限公司,8K-10K,大专
投资理财顾问 底薪5k+补贴1k+提成,上海石擎商务咨询有限公司,10K-15K,大专
英语翻译 不加班 六险一金 下午茶 行政班次,湖北挚才商务信息咨询有限公司,8K-12K,本科
K12课程研发/STEAM教育培训师,上海优必杰教育科技有限公司,6K-10K,本科
研发经理/招聘主管,上海湖润文化艺术发展中心(有限合伙),15K-30K,学历不限
ISO27001ISO20000国家注册审核员（全国）,杭州证客信息科技有限公司,20K-30K,本科
上市公司 客户专员 月薪1.5万+,上海石擎商务咨询有限公司,10K-15K,大专
讲师,上海湖润文化艺术发展中心(有限合伙),15K-30K,本科
上市公司，期货，客户专员,上海恋淼商务信息咨询有限公司,15K-20K,大专
算法工程师（高级）(J10837),北京明略软件系统有限公司,15K-30K,硕士
投资理财顾问 底薪5800+双休+提成,敬悦商务（上海总部）,10K-15K,大专
期货专员 底薪5K+提成 月薪过万,敬悦商务（上海总部）,10K-15K,大专
业务开发主管(J10750),上海联影医疗科技有限公司,8K-16K,学历不限
青浦上市金融投顾五险双休,上海晨彧商务信息咨询有限公司,15K-20K,大专
深度学习工程师,上海宣优技术服务中心,16K-25K,本科
金融 销售 底薪5.8K 月薪2W+,上海石擎商务咨询有限公司,10K-15K,大专
英语老师 周末双休不加班 薪资8-12K 下午茶 六险,湖北挚才商务信息咨询有限公司,8K-12K,本科
英语助教 薪资稳定 行政班次 六险 下午茶,湖北挚才商务信息咨询有限公司,8K-12K,本科
金融客户专员双休高提成,上海恋淼商务信息咨询有限公司,15K-20K,大专
 K12课程研发/STEAM教育培训师,上海优必杰教育科技有限公司,7K-10K,本科
金融网络销售+五险+双休+上市公司,上海晨彧商务信息咨询有限公司,15K-20K,大专
激光点云算法工程师,上海狮尾智能化科技有限公司,10K-15K,硕士
金融 客户专员 底薪5k+补贴1k+提成,上海石擎商务咨询有限公司,10K-15K,大专
猎头顾问+高级寻访师+无经验一对一帮带,上海即郅企业管理咨询有限公司,8K-10K,本科
资深推荐算法工程师-比心科技,嘉驰国际,25K-50K,本科
K12科创老师培训/ STEAM教育师资培训,上海优必杰教育科技有限公司,7K-14K,本科
29777-金融云银行业务架构师（北/上/深圳）（上海）,深圳市腾讯计算机系统有限公司,薪资面议,学历不限
[ATG]Bigdata Solution Lead,埃森哲(中国)有限公司,薪资面议,大专
课程研发,上海优必杰教育科技有限公司,8K-10K,本科
课程研发,上海优必杰教育科技有限公司,8K-10K,本科
K12在线教育 招生顾问,上海乂学教育科技有限公司,10K-15K,大专
医学经理-外资制药-上海,任仕达企业管理(上海)有限公司深圳分公司,20K-30K,硕士
投资/理财顾问 月薪1.2万+双休+5险1金,敬悦商务（上海总部）,10K-15K,大专
期货金融 客户专员 月薪1万+6金,上海石擎商务咨询有限公司,10K-15K,大专
渠道销售经理/总监,上海中信信息发展股份有限公司,10K-18K,本科
调度算法工程师,山西东杰智能物流装备股份有限公司,20K-30K,本科
市场推广,上海神弋智能科技有限公司,7K-12K,本科
期货专员 上市公司 底薪6K 月薪平均1.2万+,敬悦商务（上海总部）,10K-15K,大专
29777-金融云银行行业售前架构师（北/上/深）（上海）,深圳市腾讯计算机系统有限公司,薪资面议,学历不限
创意美术经理,中科云从科技,15K-25K,本科
期货投资专员 月薪12k-20k,上海上巢实业有限公司,10K-15K,大专
